Icao,Message,Timestamp,Receiver,df,Receiver IP
800BB1,5D800BB1154ADB,122A0834F7F644,2,11,192.168.101.3
800C74,5D800C74C423C4,1229FA8FCEF425,1,11,192.168.30.27
801410,5D80141056ED67,1229FA93837035,1,11,192.168.30.27
800C74,5D800C74C4238F,122A08FDA13928,2,11,192.168.101.3
800BB1,5D800BB1154ADB,122A092250B44F,2,11,192.168.101.3
485785,5D485785CE0760,122A092DE6C42E,2,11,192.168.101.3
800C74,5D800C74C423C4,1229FB06BFFD1E,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A0A0E8C7944,2,11,192.168.101.3
800C74,5D800C74C4238F,122A0A28DAAA25,2,11,192.168.101.3
800C74,5D800C74C423C4,1229FB7D0D4428,1,11,192.168.30.27
680002,5D680002C5DD7B,122A00603CE63E,1,11,192.168.30.27
680002,5D680002C5DD7A,122A00603CF651,1,11,192.168.30.27
800BB1,5D800BB1154ADB,122A0AFBBD1D4A,2,11,192.168.101.3
800C74,5D800C74C4238F,122A0B1E5EF524,2,11,192.168.101.3
8005F0,5D8005F0BD7CB2,122A0B80D9A732,2,11,192.168.101.3
